username,tweet
Fawaz_Alfadhli5,My happy 25th #birthday https://www.instagram.com/p/B_QfhpApDs6/?igshid=a2q6ax512zgu
defyantone28,"@itsjojosiwa My son Parker is your biggest fan! He can't have his birthday this year because of COVID is there any way you can give him a ""Happy Birthday"" for his May 25th celebration! "
newuser2310,25k on 25th hun.. Many congratulations and happy birthday
Ravone__,Happy 25th Birthday To Me 
lgX4TQ2rrn66PeY,Happy Birthday！ ヒド君 #HeedoDay_25th #ヒド #gegg
msyhdgoforit,I hope you achieve all of your dreams and obtain all of your heart’s desires. Happy Birthday! #HappyHeedoDay #Heedo #희도 #GEGG #HeedoDay_25th #BIG #BIG_희도_생일축하해요
YayaLovesAnime,Happy 25th Birthday to my baby brother. We're about to throw down on the seafood yessssssssss lawdd! 
staycherries,#HappyHeedoDay #HeedoDay_25th #HEEDO happy birthday to our precious and talented Yo Heedo I'm so proud of him and his achievements in the team. I hope he stays healthy and happy and i hope this year bring him ease. 
Trevy_West_Side,Happy Birthday to @Scientesse! I love you so much and I'm glad we get to share your 25th together! 
_MyJones,Credit hit 701!! Happy 25th birthday to me. 
msyhdgoforit,May your journey through life be as rewarding as you hope. You deserve all the good things that life has to offer. Happy birthday! #HeedoDay_25th #Heedo #HappyHeedoDay #BIG_희도_생일축하해요 #寝落ちして出遅れ
