username,tweet
SMarieFetzer,Happy 35th Birthday @TheRachLindsay
FarrahWilson1,"Repost @CarolVickiFan by media.repost: April 20: Happy 35th Birthday to Billy Magnussen #billymagnussen #actor #bornonthisday #happybirthday #AprilBirthdays #April #quotes @Darlington, South Carolina https://www.instagram.com/p/B_OchUGH4iR/?igshid=147malov7m6h4"
TheQHBlend,Just donated. I was meant to fly out last month for my 35th birthday and visit your San Francisco store; it would’ve been my first Amoeba visit. I still plan to come out once the dust settles. Happy to help. Physical music media and the culture around it is important to me. 
Ulan_Mejia,Happy 35th birthday idol @JBDuran9 stay care and take safe!! 
wanmoshiiii,happy 35th birthday baby @JBDuran9 mbtc and gbuuuuu
Hughbris95,It’s my brother’s 35th birthday too. Happy b-day Zero:)
Jordan48086342,happy 35th birthday to 2x Wwe Raw Tag Team Champion Curt Hawkins face the facts
Jordan48086342,happy 35th birthday to 2x Wwe Raw Tag Team Champion Curt Hawkins 
AshaAdutwim,Happy 35th birthday! I’m 8 days behind you! 
WindyCitySlam,.@WindyCitySlam wishes a happy 35th birthday to host of The Major Wrestling Figure Podcast and veteran wrestling star @myers_wrestliing (aka Curt Hawkins)! : @MikePankow #wrestling #WWE #WWELive #MajorWFPod #ChicagoWrestling #indywrestling #wrestlingfigures #toycollecting
kevstuff,Happy 35th birthday my guy @SaintNick_23
BondonianL,"Happy 35th Birthday to Billy Magnussen who portrays Logan Ash in No Time To Die, William Gregory Magnussen is an American actor and comedian of stage, television, and film. #billymagnussen #loganash #happybirthday… https://www.instagram.com/p/B_NwjcYjRdH/?igshid=g00wnf2turwu"
flipcampbell,"happy 35th birthday, It's Soup Time"
micuteorwt,@BrianUrmanski Happy 35th Birthday Brian!! Have the best day ever. Love you little Bro #tmobile #ilovemylittlebrother #QuarantineLife
BarstoolChief,"Happy 35th Birthday to one of the most important Blackhawks in history, Brent Seabrook. Everyone say something nice about him "
MikeSchwabl,Happy Birthday to my hometown and Happy 35th Anniversary to Dave and Cathy Pera from Bison Scaffold! An historic day for sure! 
Angel_150913,"35 years ago today my (step)mom hit rock bottom with a suicide attempt. Bullet fragments remained, but the alcohol stopped. Happy 35th AA birthday to my mom. The strongest person I know. "
